antlr/antlr,antlr/antlr/2.7.7
com.unboundid/unboundid-ldapsdk,com.unboundid/unboundid-ldapsdk/3.2.1
com.zaxxer/HikariCP,com.zaxxer/HikariCP/2.5.1
com.zaxxer/HikariCP-java6,com.zaxxer/HikariCP-java6/2.3.13
com.zaxxer/HikariCP-java7,com.zaxxer/HikariCP-java7/2.4.13
commons-beanutils/commons-beanutils,commons-beanutils/commons-beanutils/1.9.3
commons-codec/commons-codec,commons-codec/commons-codec/1.10
commons-collections/commons-collections,commons-collections/commons-collections/3.2.2
commons-dbcp/commons-dbcp,commons-dbcp/commons-dbcp/1.4
commons-digester/commons-digester,commons-digester/commons-digester/2.1
commons-pool/commons-pool,commons-pool/commons-pool/1.6
de.flapdoodle.embed/de.flapdoodle.embed.mongo,de.flapdoodle.embed/de.flapdoodle.embed.mongo/1.50.5
dom4j/dom4j,dom4j/dom4j/1.6.1
io.dropwizard.metrics/metrics-annotation,io.dropwizard.metrics/metrics-annotation/3.1.5
io.dropwizard.metrics/metrics-core,io.dropwizard.metrics/metrics-core/3.1.5
io.dropwizard.metrics/metrics-ehcache,io.dropwizard.metrics/metrics-ehcache/3.1.5
io.dropwizard.metrics/metrics-ganglia,io.dropwizard.metrics/metrics-ganglia/3.1.5
io.dropwizard.metrics/metrics-graphite,io.dropwizard.metrics/metrics-graphite/3.1.5
io.dropwizard.metrics/metrics-healthchecks,io.dropwizard.metrics/metrics-healthchecks/3.1.5
io.dropwizard.metrics/metrics-httpasyncclient,io.dropwizard.metrics/metrics-httpasyncclient/3.1.5
io.dropwizard.metrics/metrics-jdbi,io.dropwizard.metrics/metrics-jdbi/3.1.5
io.dropwizard.metrics/metrics-jersey,io.dropwizard.metrics/metrics-jersey/3.1.5
io.dropwizard.metrics/metrics-jersey2,io.dropwizard.metrics/metrics-jersey2/3.1.5
io.dropwizard.metrics/metrics-jetty8,io.dropwizard.metrics/metrics-jetty8/3.1.5
io.dropwizard.metrics/metrics-jetty9,io.dropwizard.metrics/metrics-jetty9/3.1.5
io.dropwizard.metrics/metrics-jetty9-legacy,io.dropwizard.metrics/metrics-jetty9-legacy/3.1.5
