org.apache.camel/apt,org.apache.camel/apt/3.0.0-RC1
org.apache.camel/camel-spring-ws,org.apache.camel/camel-spring-ws/3.0.0-RC1
org.apache.camel/camel-sql,org.apache.camel/camel-sql/3.0.0-RC1
org.apache.camel/camel-ssh,org.apache.camel/camel-ssh/3.0.0-RC1
org.apache.camel/camel-stax,org.apache.camel/camel-stax/3.0.0-RC1
org.apache.camel/camel-stomp,org.apache.camel/camel-stomp/3.0.0-RC1
org.apache.camel/camel-stream,org.apache.camel/camel-stream/3.0.0-RC1
org.apache.camel/camel-stringtemplate,org.apache.camel/camel-stringtemplate/3.0.0-RC1
org.apache.camel/camel-stub,org.apache.camel/camel-stub/3.0.0-RC1
org.apache.camel/camel-swagger-java,org.apache.camel/camel-swagger-java/3.0.0-RC1
org.apache.camel/camel-syslog,org.apache.camel/camel-syslog/3.0.0-RC1
org.apache.camel/camel-tagsoup,org.apache.camel/camel-tagsoup/3.0.0-RC1
org.apache.camel/camel-tarfile,org.apache.camel/camel-tarfile/3.0.0-RC1
org.apache.camel/camel-telegram,org.apache.camel/camel-telegram/3.0.0-RC1
org.apache.camel/camel-test,org.apache.camel/camel-test/3.0.0-RC1
org.apache.camel/camel-test-blueprint,org.apache.camel/camel-test-blueprint/3.0.0-RC1
org.apache.camel/camel-test-cdi,org.apache.camel/camel-test-cdi/3.0.0-RC1
org.apache.camel/camel-test-junit5,org.apache.camel/camel-test-junit5/3.0.0-RC1
org.apache.camel/camel-test-karaf,org.apache.camel/camel-test-karaf/3.0.0-RC1
org.apache.camel/camel-test-spring,org.apache.camel/camel-test-spring/3.0.0-RC1
org.apache.camel/camel-testcontainers,org.apache.camel/camel-testcontainers/3.0.0-RC1
org.apache.camel/camel-testcontainers-spring,org.apache.camel/camel-testcontainers-spring/3.0.0-RC1
org.apache.camel/camel-thrift,org.apache.camel/camel-thrift/3.0.0-RC1
org.apache.camel/camel-tika,org.apache.camel/camel-tika/3.0.0-RC1
org.apache.camel/camel-timer,org.apache.camel/camel-timer/3.0.0-RC1
org.apache.camel/camel-twilio,org.apache.camel/camel-twilio/3.0.0-RC1
org.apache.camel/camel-twitter,org.apache.camel/camel-twitter/3.0.0-RC1
org.apache.camel/camel-undertow,org.apache.camel/camel-undertow/3.0.0-RC1
org.apache.camel/camel-univocity-parsers,org.apache.camel/camel-univocity-parsers/3.0.0-RC1
org.apache.camel/camel-validator,org.apache.camel/camel-validator/3.0.0-RC1
org.apache.camel/camel-velocity,org.apache.camel/camel-velocity/3.0.0-RC1
org.apache.camel/camel-vertx,org.apache.camel/camel-vertx/3.0.0-RC1
org.apache.camel/camel-vm,org.apache.camel/camel-vm/3.0.0-RC1
org.apache.camel/camel-weather,org.apache.camel/camel-weather/3.0.0-RC1
org.apache.camel/camel-web3j,org.apache.camel/camel-web3j/3.0.0-RC1
org.apache.camel/camel-webhook,org.apache.camel/camel-webhook/3.0.0-RC1
org.apache.camel/camel-websocket,org.apache.camel/camel-websocket/3.0.0-RC1
org.apache.camel/camel-websocket-jsr356,org.apache.camel/camel-websocket-jsr356/3.0.0-RC1
org.apache.camel/camel-wordpress,org.apache.camel/camel-wordpress/3.0.0-RC1
org.apache.camel/camel-xchange,org.apache.camel/camel-xchange/3.0.0-RC1
org.apache.camel/camel-xmlsecurity,org.apache.camel/camel-xmlsecurity/3.0.0-RC1
org.apache.camel/camel-xmpp,org.apache.camel/camel-xmpp/3.0.0-RC1
org.apache.camel/camel-xpath,org.apache.camel/camel-xpath/3.0.0-RC1
org.apache.camel/camel-xslt,org.apache.camel/camel-xslt/3.0.0-RC1
org.apache.camel/camel-xstream,org.apache.camel/camel-xstream/3.0.0-RC1
org.apache.camel/camel-yammer,org.apache.camel/camel-yammer/3.0.0-RC1
org.apache.camel/camel-zendesk,org.apache.camel/camel-zendesk/3.0.0-RC1
org.apache.camel/camel-zip-deflater,org.apache.camel/camel-zip-deflater/3.0.0-RC1
org.apache.camel/camel-zipfile,org.apache.camel/camel-zipfile/3.0.0-RC1
org.apache.camel/camel-zipkin,org.apache.camel/camel-zipkin/3.0.0-RC1
org.apache.camel/camel-zookeeper,org.apache.camel/camel-zookeeper/3.0.0-RC1
org.apache.camel/camel-zookeeper-master,org.apache.camel/camel-zookeeper-master/3.0.0-RC1
org.apache.camel/camel-activemq-starter,org.apache.camel/camel-activemq-starter/3.0.0-RC1
org.apache.camel/camel-ahc-starter,org.apache.camel/camel-ahc-starter/3.0.0-RC1
org.apache.camel/camel-ahc-ws-starter,org.apache.camel/camel-ahc-ws-starter/3.0.0-RC1
org.apache.camel/camel-amqp-starter,org.apache.camel/camel-amqp-starter/3.0.0-RC1
